title	link	date	author	text	comment_rbloggers
A Handbook of Statistical Analyses Using R – Everitt and Hothorn (2006)	https://www.r-bloggers.com/2009/01/a-handbook-of-statistical-analyses-using-r-everitt-and-hothorn-2006/	January 31, 2009	bryan	 A Handbook of Statistical Analyses Using R addresses a list of several common statistical analyses in great detail.  Over a course of 15 chapters, the handbook takes the reader from an introduction to R through a discussion of statistical inference, to linear and logistic regression, tree analysis, survival analysis, longitudinal analysis, meta-analysis, factoring, scaling, and clustering.  The handbook has a peer-reviewed journal style that will be familiar to academic researchers and each chapter stands on its own.  This approach makes the text exceptionally useful in the academic setting as a professor can distribute and assign the first chapter of the book to her Research Methods 101 course; the final chapters on scaling and dimensionality to her Psychometrics Methods course; the last chapter on clustering to her Marketing Research course; and require the entire book for her graduate methods course.  For custom research shops making the transition to R or who frequently hire new entry level R users, this book will work well as a reference and training manual.   The handbook does show typical first edition flaws.  There are sporadic mistakes in grammar such as misspellings and incorrect words.  The overall organization of the book is strong, but the chapter level organization is less effective.  Each chapter begins with a discussion of all of the datasets used in that chapter and is followed by examples and applications based on those datasets. In chapters where there are several examples, the discussion of the data is too detached from its corresponding example.  When the reader reaches the example based on the first dataset they have likely forgotten the relevant details about that data’s structure.  Grouping the data discussions with the examples they accompanied would have made the example based approach more effective. read more 	 0 Comments
State-of-the-art in parallel computing with R: New paper	https://www.r-bloggers.com/2009/01/state-of-the-art-in-parallel-computing-with-r-new-paper/	January 30, 2009	Thinking inside the box		 0 Comments
Importing Generic Function from Other Package: A Tip on Writing a R Package	https://www.r-bloggers.com/2009/01/importing-generic-function-from-other-package-a-tip-on-writing-a-r-package/	January 30, 2009	Yu-Sung Su		 0 Comments
Visualizing Eigenfactors	https://www.r-bloggers.com/2009/01/visualizing-eigenfactors/	January 30, 2009	John Myles White	These interactive graphics are simply beautiful. And they just so happen to be profoundly informative about the structure of modern science as well. Here’s to the hope that we will see more work from Moritz Stefaner soon that shows how our aesthetic and scientific demands can be met simultaneously. HT to Infosthetics. 	 0 Comments
Runing R in the Command Mode in the Window system	https://www.r-bloggers.com/2009/01/runing-r-in-the-command-mode-in-the-window-system/	January 29, 2009	Yu-Sung Su		 0 Comments
MCMCglmm package for R	https://www.r-bloggers.com/2009/01/mcmcglmm-package-for-r/	January 29, 2009	Gregor Gorjanc		 0 Comments
InDesign: Export Selection to PDF	https://www.r-bloggers.com/2009/01/indesign-export-selection-to-pdf/	January 29, 2009	[email protected]		 0 Comments
Controlling margins and axes with oma and mgp	https://www.r-bloggers.com/2009/01/controlling-margins-and-axes-with-oma-and-mgp/	January 26, 2009	bryan	"When creating graphs, we’re usually most concerned with what happens near the center of our displays, as this is where most of the important information is generally held.  But sometimes, either for aesthetics or clarity, we want to adjust what’s outside of the box – in the margins, labels or tick marks.  The par() function offers several ways to do this and I’ll discuss two that deal primarily with spatial orientation – rather than content – below.

The oma, omd, and omi options read more "	 0 Comments
New CRAN Task View on HPC	https://www.r-bloggers.com/2009/01/new-cran-task-view-on-hpc/	January 24, 2009	Thinking inside the box		 0 Comments
Data Analysis and Graphics Using R – Maindonald and Braun (2003)	https://www.r-bloggers.com/2009/01/data-analysis-and-graphics-using-r-maindonald-and-braun-2003/	January 23, 2009	bryan	 Data Analysis and Graphics Using R (DAAG) covers an exceptionally large range of topics.  Because of the book’s breadth, new and experienced R users alike will find the text helpful as a learning tool and resource, but it will be of most service to those who already have a basic understanding of statistics and the R system. Although the text includes both an Introduction to R section (chapter one) and a discussion of the basics of quantitative data analysis (chapters two through four), these chapters will be most useful as overviews (or reviews for more experienced readers), as they lack the detail required to take a reader from no knowledge of these subjects to a functional understanding.  For example, chapter one discusses importing data in .txt and .csv format, but the foreign package is not discussed until chapter fourteen – the final chapter of the book.  In practice, .txt data structures are not common enough to justify relegating a discussion of the foreign package to the supplemental materials and a researcher stuck with a .sav or .dbf file would not leave chapter one with enough knowledge to import their data into R. read more 	 0 Comments
R Programmer – Calgary	https://www.r-bloggers.com/2009/01/r-programmer-calgary/	January 23, 2009	Programming R	"Originally posted on r-sig-jobs listserv: Hello All, We are in ned of an R programmer for a project in Calgary, Alberta, Canada.  We need the person to be local as the project involves coordination of a series of experts.  The project is only about 150 hours.  The ideal candidate will be an experienced R programmer who is available immediately.  Please contact me for further details or if you know of someone that might be a suitable candidate.  A referral fee of $200 will be given if your referral is chosen. Cheers,
Tyler
[email protected] "	 0 Comments
Install JAGS and rjags in Fedora	https://www.r-bloggers.com/2009/01/install-jags-and-rjags-in-fedora/	January 23, 2009	Yu-Sung Su		 0 Comments
R: Combining vectors or data frames of unequal length into one data frame	https://www.r-bloggers.com/2009/01/r-combining-vectors-or-data-frames-of-unequal-length-into-one-data-frame/	January 23, 2009	markheckmann	Today I will treat a problem I encounter every once in a while. Let’s suppose we have several dataframes or vectors of unequel length but with partly matching column names,  just like the following ones: This for example may occur when fitting several multiple regression models each time using different combination of regressors. Now I would like to combine the results into one data frame.  The merge() as well as the rbind() function do not help here as they require equal lengths. I posted this matter on r-help as my first solution was somewhat awkward and could not be generalized to any data frames or list of data frames. The first solution was posted by Charles C. Berry. myList is a list containing the data frames as elements What he does is to use a nested loop. The inner loop runs for each data frame over each column name. It basically takes each column name and the correponding element [i, j] from the data frame ( myList[[i]] ) and writes it into an empty data frame (dat). Thereby a new column that is named just like the column from the list element data frame is created. The cells that are left out are automatically set NA. Note that the order of the output columns depends on the input order. The list below renders a different order, though it contains the same elements but ordered differently. Another solution was posted by Henrique Dallazuanna. This one has the advantage that it does not use loops. It looks a bit scary at first, so let's examine it starting from the inside. As a next step for each vector with column names all columns are selected leaving those that are not present with NA values. As a last step the vectors having the same columns are combined. The only little flaw in this function is that the column names of the first vector are taken as column names of the developing data frame. Using the second list from above, gives the following. Thus, in a last step we need change the column names of the data frame. Well this works but it would be much more convenient to get this done in one single function and well, since october 2008 there is one. It can be found in the plyr package written by Hadley Wickham. So the solution is as easy as: The results: Now, this is nice! It is really worthwhile having a look at Hadley Wickhams plyr package as it provides a lot of functions that make life a lot easier when it comes to splitting list or data frames, doing a calculation or not and merge them afterwards again. More on that another day. Cheers, Mark 	 0 Comments
Interesting tip about multicolor title of a plot	https://www.r-bloggers.com/2009/01/interesting-tip-about-multicolor-title-of-a-plot/	January 23, 2009	Paolo		 0 Comments
EMBL Heidelberg seeks a Bioinformatician / Data Analyst	https://www.r-bloggers.com/2009/01/embl-heidelberg-seeks-a-bioinformatician-data-analyst/	January 21, 2009	Programming R	Originally posted on r-sig-jobs listserv: Hello, Might be interesting for some of you: Bioinformatician / Data Analyst Grade: 5 or 6, depending on experience EMBL site: EMBL Heidelberg Commencing date: As sooon as possible, after closing date (28 February 2009) read more 	 0 Comments
Vacancy postdoc computational systems biology – Amsterdam	https://www.r-bloggers.com/2009/01/vacancy-postdoc-computational-systems-biology-amsterdam/	January 21, 2009	Programming R	"Originally posted on r-sig-jobs listserv: *Postdoc Position Computational Systems Biology ‘Systems Bioinformatics: Computational Modelling Methods’ f/m
* *
VU University Amsterdam, the Netherlands
* *Research project * read more "	 0 Comments
Sweave.sh plays with weaver	https://www.r-bloggers.com/2009/01/sweave-sh-plays-with-weaver/	January 21, 2009	Gregor Gorjanc		 0 Comments
Customizing R: startup script	https://www.r-bloggers.com/2009/01/customizing-r-startup-script/	January 19, 2009	[email protected]		 0 Comments
Maximum likelihood estimation in R	https://www.r-bloggers.com/2009/01/maximum-likelihood-estimation-in-r/	January 18, 2009	Quantitative Finance Collector		 0 Comments
R vs. SAS	https://www.r-bloggers.com/2009/01/r-vs-sas/	January 17, 2009	martin	Everything started with the article in the NYT talking about R – and of course – did mention SAS. Andrew Gelman picked up the article and posted his take on the matter. Maybe it are sentences like Andrew’s “And it’s good to hear that SAS is in trouble” and Anne H. Milley, director of technology product marketing at SAS: “We have customers who build engines for aircraft. I am happy they are not using freeware when I get on a jet.”, which did stir the readers up.   	 0 Comments
